CategoryId,names
0,Gold Buyers
1,Ethnic Grocery
2,Adult Education
3,Podiatrists
4,Basque
5,Museums
6,Bikes
7,Acupuncture
8,Swimming Lessons/Schools
9,Ethnic Food
10,DUI Law
11,Appraisal Services
12,Military Surplus
13,Shades & Blinds
14,Commercial Truck Dealers
15,Heating & Air Conditioning/HVAC
16,Financial Advising
17,Private Investigation
18,Nanny Services
19,Bridal
20,Food Court
21,Debt Relief Services
22,Dance Studios
23,Test Preparation
24,Game Truck Rental
25,Pediatricians
26,Orthopedists
27,Guns & Ammo
28,Walk-in Clinics
29,Real Estate Photography
30,Tasting Classes
31,Creperies
32,American (Traditional)
33,Psychics
34,Naturopathic/Holistic
35,South African
36,Hypnosis/Hypnotherapy
37,Float Spa
38,Glass & Mirrors
39,Dinner Theater
40,Mediterranean
41,Civic Center
42,Framing
43,Internet Service Providers
44,Keys & Locksmiths
45,Flight Instruction
46,Family Practice
47,Home Energy Auditors
48,Real Estate Agents
49,Skin Care
50,Antiques
51,Special Education
52,Sewing & Alterations
53,Reunion
54,Head Shops
55,Blow Dry/Out Services
56,Local Flavor
57,Synagogues
58,Lakes
59,Snow Removal
60,IT Services & Computer Repair
61,Telecommunications
62,Performing Arts
63,Fabric Stores
64,Embassy
65,Wildlife Control
66,Pizza
67,Pharmacy
68,Home Theatre Installation
69,Pediatric Dentists
70,Baseball Fields
71,Spiritual Shop
72,Plastic Surgeons
73,Beauty & Spas
74,Skate Parks
75,Eyewear & Opticians
76,Dance Clubs
77,Arcades
78,Dental Hygienists
79,Meditation Centers
80,Car Stereo Installation
81,Shopping Centers
82,Paint-Your-Own Pottery
83,Investing
84,Irish Pub
85,Tutoring Centers
86,Photo Booth Rentals
87,Party Supplies
88,Business Law
89,Hakka
90,Surf Schools
91,Noodles
92,Insurance
93,Physical Therapy
94,Jewelry Repair
95,Eyebrow Services
96,Swiss Food
97,Department Stores
98,Arts & Crafts
99,Notaries
100,Trampoline Parks
101,Fondue
102,Axe Throwing
103,Vape Shops
104,Teeth Whitening
105,Kitchen & Bath
106,Cannabis Clinics
107,Furniture Stores
108,Fast Food
109,Badminton
110,Ultrasound Imaging Centers
111,Wineries
112,Chiropractors
113,Distilleries
114,Property Management
115,Shoe Shine
116,Bike Shop
117,Lawyers
118,Race Tracks
119,Wedding Planning
120,Golf
121,Cheese Shops
122,Team Building Activities
123,Appliances
124,Restaurants
125,Cocktail Bars
126,Party & Event Planning
127,Art Classes
128,Ayurveda
129,Used Car Dealers
130,Ophthalmologists
131,Fitness/Exercise Equipment
132,Car Window Tinting
133,Kombucha
134,Watches
135,Tiki Bars
136,Eyelash Service
137,Auto Repair
138,Public Markets
139,Internal Medicine
140,Carpenters
141,Airlines
142,Seafood Markets
143,Recreation Centers
144,Threading Services
145,Shutters
146,Floral Designers
147,Buddhist Temples
148,Orthodontists
149,Sports Wear
150,Luggage
151,Japanese
152,Bubble Soccer
153,Water Purification Services
154,Grilling Equipment
155,Libraries
156,Dry Cleaning & Laundry
157,Home Cleaning
158,Clock Repair
159,International
160,Men's Clothing
161,Screen Printing/T-Shirt Printing
162,Medical Centers
163,Rolfing
164,Retirement Homes
165,Cajun/Creole
166,Macarons
167,Building Supplies
168,Auto Parts & Supplies
169,Uniforms
170,Opera & Ballet
171,Employment Law
172,Ticket Sales
173,Cosmetics & Beauty Supply
174,Barbers
175,Commercial Real Estate
176,Midwives
177,Hot Dogs
178,Aquariums
179,Persian/Iranian
180,Bike Rentals
181,Music Venues
182,Sporting Goods
183,Convenience Stores
184,First Aid Classes
185,Videographers
186,Boat Tours
187,Latin American
188,Paintball
189,Kosher
190,Breweries
191,Tacos
192,Asian Fusion
193,Wigs
194,Bus Rental
195,Formal Wear
196,Historical Tours
197,Auction Houses
198,Festivals
199,Hardware Stores
200,Windows Installation
201,Airsoft
