linkID,venue1,venue2
0,jniApOOS8ppUHhESL7OzTg,KYYUvIJi7laFzK1NsaE77Q
1,gyFYZV4b_9TxG1ulQNi0Ig,SJr6Hs_XS4ubUq8NojqXzA
2,KVUOj74lBgogrdKcNQH_zQ,0sPOBQHlVvuhO1h-1p1ccQ
3,3HwoIoJcV7yDi3RV7T-oDQ,czzjfPe7kO9VxoYV9l-fxA
4,84JCu-4LvE6SDAglrJztGA,pTbkdBDDKxNVjKUZ_6RAug
5,GhGN_eerrkfnWjNXvIb21Q,jp6wKEW6AmSJrz9TtYSx4g
6,v_xuLfW7TXBsQctpOuPvQw,T_Vjy4_Z-F0mFQMLRHDTrQ
7,sTigKodOrD_HIdcZ8msGJw,YI4MTduy3fhKNtn2piOyow
8,cS4yqCzFV0719CU_1b0IqQ,bRntmjztJ4dFDA_LYiEECw
9,qUWqjjjfpB2-4P3He5rsKw,IQ3esF7MvIOCbeVetW51Ng
10,ryEwIARbKHvb0lCkAam8dQ,EsUtyYz5_3wYAhPROK3GCw
11,R2ngkZC6KtJwRK_fmJk4WA,A7waf6G3cvnLfAqKeLL8DA
12,g-7eYzQp3n-ylR98jbk97Q,YSUcHqlKMPHHJ_cTrqtNrA
13,Dq4-B1lrW2y5YrbNc6kJnw,McVmSLVRJBDWIuQO7D6GJg
14,aqbDKHi0fO5NOJza4hTZhA,0MpIkT4bWVmothCksJysKg
15,0W_ICY9MEOIyuZFdChwpnw,wcR9Vbwn2EmlSeV7uBUIsA
16,oAq3-dXyDT3k4Mluc1ftTA,xsFJZu4nME615byZVrpMGA
17,wSojc-y-d7MWiGWdy8deCg,wrWGsYm9NwptTGN9gbkGSA
18,MTasygZc2fP3rbuLuduIjQ,4m_hApwQ054v3ue_OxFmGw
19,4KPp6fLU8WJHJ63bxSb3Ww,FL_UG4G1btvH5K3TVDvnew
20,kKC7UTcHZM3zLfT97x3msg,PXN0l42g6IWp18NGJ7yn5w
21,pM6RUrQNitEA5gG4VBc6Hg,TB2C_-YE4tECas-wyf8LdA
22,-b94nkPVLQw95zgtDhcpYA,YAaTTC6h9mNbqfe24oAkwg
23,3pS1r-BTUcDWJXh6-GwRLw,pSMK_FtULKiU-iuh7SMKwg
24,PwcZPVAxhnG-MPPpH3BsYQ,5m2JukTajxMk-qS5W4s-FA
25,H_ngMvvTOse6N5scXHDZdQ,7cCPL6NJPrOUlxjabpmZjQ
26,0mGYvAFGxH9bGRqYHxS0BQ,67Pa_CtXthgJzXfY8JzLDQ
27,E9b73ETPw0VYUJ2_YSJJdQ,mfnmy_M3D5ElkgJD_TxoCA
28,F_oPMHJrH42R67xp5eKtQA,bsGVvCtj8i2xGl15XX8Dxw
29,N6tJKe0h1NJgVm86NDg7ug,fJvY-QjDY1ZWWArjx9rRIw
30,ar3FKybOl9yazviTBu-NRg,887Idmbk8LTh65CjImTfjg
31,qTacF-_Iucc1Nxom_Za_5Q,PREGU-o21vxhIgJ8W942sQ
32,wVc3g-YfyDvkOLDecpr4DA,Uyla4dquQS1oD6puUCjPkA
33,5By2_wEFEzCO1-34AdJxGg,BYDs_o6U4CLxJec8k1Q90Q
34,agWZA6ajLvu6MfFySNBzZw,Nxg73OigmRQQq0d1pKtkUQ
35,K2-3hzUtmqK8BWuLAEiauw,84RdNjDKXKzqZlSlT6G6PA
36,_cw6R0-LkmTMTb8_FML6zw,QMVMmt8mIuzYQMHgGuJ_fg
37,VMfEWlSwDt9fhwNN868NNA,AQJPI5rnkb7pBnBMWtSjvw
38,Zd5bvGvlSmksBJXrevtxEQ,WP1e-VmnTW2K0A9dMCF10g
39,I_DEYAFFpAZA0cd4ogza3A,QWWg3mbz1VkBjfPr0gLRsQ
40,7HUEqrj4aa_u3kl-o-e9_Q,FVMsFMfPkzQn7bLXZ8d6aA
41,xL9EhlYVMSe2mdkisYjXog,N77a6BmaV9JBbflvffGC0g
42,hPXR-Bi8U-uz6TUViqmGpg,0kB69ewW3BVse8EhU4kxrQ
43,FkJTuuqeJL4jHi2FojX_fg,EBzr465prEffkpmE8Mk5AA
44,gB4JpmmLKClE1ZFAwFWBJQ,kOFDVcnj-8fd3doIpCQ06A
45,8KhbimOVxpFQoBmWrX4OVg,xYeLEIWbG0IBnMGU2mWUBg
46,XrcB7Of1KfHlkeXYpHLIrw,-ICGmF2qUVKdvOehVNgPbg
47,UxWH8zRYIBgs6Q2oykvRdw,izyF2_NQWXuXpgx8ddVTyA
48,orrhJxM6V1USwccG7MlxmA,piZ4JqJI5WTljJuQV7yZHQ
49,nJBwEYaulNXHPAUP0OBRtg,bLrjQj3G9NAyKoi5EROj1Q
50,tnE2pii5EM-9u6iAA1lPyw,EPC6hf0LI9CqUOSGxMxHow
51,Nmxh4dUE952kjXDZOUHFVQ,Y0NkII8gne1QEJbUCBi2tg
52,CB8HrynUWR4Odnj-XTY-Ew,OA1o0ixPWw-maEq2CF1Qag
53,kQvwrJdXtJV8ePbZUrTcvA,UQpOObEgtdyi3IyBSVEntg
54,IUtjbbqQ6jUSi4t2jjgYRA,IUtjbbqQ6jUSi4t2jjgYRA
55,5JjlWFANEQ7ztxwzkdby0A,bSLIrhdxrxuz3p_nz1iLpg
56,02BXFKzu1rgaYulNGYvi6g,q3ilBINLR7KoBBlxSqCvlA
57,UN0UwUh7jaeX6Jg3lZImCg,GF6kwCxTBJ393xdIYVGskw
