linkID,link
0,0
1,0
2,1
3,0
4,0
5,1
6,1
7,0
8,1
9,0
10,1
11,1
12,0
13,1
14,1
15,1
16,1
17,1
18,0
19,1
20,1
21,1
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,0
39,1
40,1
41,1
42,1
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,1
52,1
53,0
54,1
55,0
56,0
57,1
58,0
59,0
60,1
61,1
62,1
63,1
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,0
78,0
79,1
80,0
81,1
82,1
83,0
84,0
85,0
86,0
87,0
88,0
89,1
90,0
91,0
92,1
93,0
94,0
95,0
96,1
97,0
98,0
99,1
100,0
101,0
102,1
103,1
104,0
105,0
106,1
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,1
115,1
116,1
117,0
118,1
119,1
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,1
130,0
131,1
132,0
133,0
134,0
135,1
136,0
137,0
138,1
139,0
140,0
141,0
142,1
143,1
144,0
145,1
146,1
147,0
148,0
149,1
150,0
151,1
152,1
153,1
154,1
155,0
156,1
157,1
158,1
159,1
160,0
161,0
162,0
163,1
164,0
165,0
166,0
167,1
168,1
169,0
170,1
171,0
172,1
173,0
174,1
175,0
176,0
177,0
178,1
179,0
180,1
181,1
182,0
183,0
184,1
185,1
186,0
187,1
188,0
189,0
190,0
191,1
192,1
193,1
194,0
195,1
196,0
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,1
205,0
206,1
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,1
219,1
220,1
221,0
222,1
223,1
224,1
225,1
226,0
227,1
228,1
229,0
230,0
231,0
232,1
233,1
234,0
235,1
236,1
237,0
238,0
239,0
240,0
241,1
242,0
243,1
244,1
245,0
246,0
247,1
248,0
249,0
250,0
251,1
252,1
253,1
254,1
255,1
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,0
264,1
265,0
266,1
267,1
268,1
269,0
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,0
279,1
280,0
281,1
282,0
283,0
284,0
285,0
286,1
287,1
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,1
298,1
299,1
300,1
301,1
302,1
303,0
304,0
305,1
306,0
307,0
308,0
309,1
310,0
311,1
312,0
313,1
314,1
315,0
316,1
317,1
318,1
319,1
320,1
321,0
322,0
323,0
324,0
325,0
326,1
327,0
328,0
329,1
330,1
331,0
332,1
333,1
334,0
335,1
336,0
337,0
338,0
339,0
340,0
341,1
342,0
343,1
344,1
345,0
346,0
347,1
348,1
349,0
350,0
351,1
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,1
361,1
362,0
363,0
364,1
365,1
366,0
367,1
368,1
369,0
370,0
371,1
372,1
373,0
374,1
375,0
376,0
377,0
378,0
379,1
380,0
381,0
382,1
383,1
384,1
385,0
386,1
387,0
388,0
389,0
390,0
391,0
392,1
393,1
394,1
395,1
396,0
397,1
398,0
399,1
400,1
401,0
402,1
403,1
404,0
405,1
406,1
407,1
408,0
409,1
410,0
411,0
412,0
413,1
414,0
415,1
416,1
417,0
418,0
419,1
420,1
421,0
422,1
423,0
424,1
425,1
426,0
427,1
428,1
429,1
430,0
431,0
432,0
433,0
434,1
435,0
436,0
437,0
438,1
439,0
440,1
441,0
442,1
443,0
444,1
445,0
446,1
447,0
448,1
449,0
450,1
451,0
452,0
453,1
454,1
455,1
456,0
457,1
458,0
459,1
460,1
461,0
462,0
463,1
464,1
465,0
466,1
467,0
468,1
469,1
470,0
471,0
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,0
482,1
483,1
484,1
485,1
486,1
487,0
488,1
489,1
490,1
491,1
492,0
493,0
494,1
495,1
496,1
497,1
498,0
499,1
