key,item,name,categories
r_BrIgzYcwo1NAuG9dLbpg,0.349649,Pai Northern Thai Kitchen,"Restaurants, Food, Thai, Ethnic Food, Specialty Food"
iGEvDk6hsizigmXhDKs2Vg,0.32554,Seven Lives Tacos Y Mariscos,"Seafood, Restaurants, Mexican"
hPXR-Bi8U-uz6TUViqmGpg,0.323142,Fat Ninja Bite,"Food, Burgers, Desserts, Restaurants, Korean, Japanese"
0a2O150ytxrDjDzXNfRWkA,0.322582,Miku,"Sushi Bars, Restaurants, Japanese, Seafood"
kOFDVcnj-8fd3doIpCQ06A,0.320239,Mildred's Temple Kitchen,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Breakfast & Brunch, American (New), Restaurants, Vegetarian, Canadian (New)"
G24p1oGGfY3t-m8Z2lPCaQ,0.317758,Tinuno,"Restaurants, Filipino"
XYIPXJ9parr9FtvvcGI1SA,0.317549,GB Hand-pulled Noodles,"Chinese, Restaurants, Noodles"
xL9EhlYVMSe2mdkisYjXog,0.317094,The Halal Guys,"Desserts, Restaurants, Food, Food Stands, Halal, Middle Eastern"
RtUvSWO_UZ8V3Wpj0n077w,0.316556,KINKA IZAKAYA ORIGINAL,"Bars, Restaurants, Japanese, Tapas/Small Plates, Tapas Bars, Nightlife, Pubs"
BYDs_o6U4CLxJec8k1Q90Q,0.316373,Poke Guys,"Poke, Restaurants, Hawaiian, Food, Fast Food"
fNc1WuGwiT7RhqXUIe4S8A,0.316214,Sabai Sabai Kitchen and Bar,"Restaurants, Vegan, Tapas/Small Plates, Laotian, Thai"
bLrjQj3G9NAyKoi5EROj1Q,0.3158,iHalo Krunch,"Ice Cream & Frozen Yogurt, Food, Desserts"
mZRKH9ngRY92bI_irrHq6w,0.315776,Richmond Station,"Canadian (New), Restaurants"
B70iTJjcPkuYn8ouUewWgw,0.315024,Gusto 101,"Italian, Restaurants"
5m2JukTajxMk-qS5W4s-FA,0.314275,Charidise,"Restaurants, Desserts, Taiwanese, Food, Tea Rooms"
f5O7v_X_jCg2itqacRfxhg,0.314239,Sansotei Ramen,"Restaurants, Ramen, Japanese, Noodles"
Yl2TN9c23ZGLUBSD9ks5Uw,0.313411,Byblos,"Restaurants, Middle Eastern, Mediterranean"
Fx5haZv9PP3E7Ljp-h7B1Q,0.312312,Eggspectation,"Juice Bars & Smoothies, Breakfast & Brunch, Restaurants, Food"
jc3p5SFyt9qrrMXt6E13ig,0.312099,Tsujiri,"Tea Rooms, Ice Cream & Frozen Yogurt, Food, Desserts"
e41TP5cXZqSrz50xCBJqZw,0.311411,Insomnia Restaurant & Lounge,"French, Bars, Caterers, Canadian (New), Breakfast & Brunch, Lounges, Restaurants, Cocktail Bars, International, Mediterranean, Event Planning & Services, Nightlife, Comfort Food"
N_2yEZ41g9zDW_gWArFiHw,0.310797,Sweet Jesus,"Desserts, Ice Cream & Frozen Yogurt, Food, Coffee & Tea"
uAAWlLdsoUf872F1FKiX1A,0.309788,Bang Bang Ice Cream and Bakery,"Ice Cream & Frozen Yogurt, Desserts, Food"
