key,item,name,categories
r_BrIgzYcwo1NAuG9dLbpg,0.045311,Pai Northern Thai Kitchen,"Restaurants, Food, Thai, Ethnic Food, Specialty Food"
iGEvDk6hsizigmXhDKs2Vg,0.023468,Seven Lives Tacos Y Mariscos,"Seafood, Restaurants, Mexican"
0a2O150ytxrDjDzXNfRWkA,0.021392,Miku,"Sushi Bars, Restaurants, Japanese, Seafood"
hPXR-Bi8U-uz6TUViqmGpg,0.021392,Fat Ninja Bite,"Food, Burgers, Desserts, Restaurants, Korean, Japanese"
G24p1oGGfY3t-m8Z2lPCaQ,0.019767,Tinuno,"Restaurants, Filipino"
bLrjQj3G9NAyKoi5EROj1Q,0.019496,iHalo Krunch,"Ice Cream & Frozen Yogurt, Food, Desserts"
kOFDVcnj-8fd3doIpCQ06A,0.019406,Mildred's Temple Kitchen,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Breakfast & Brunch, American (New), Restaurants, Vegetarian, Canadian (New)"
JG9UpsFR6hrqQqsKh_RyaQ,0.019135,Planta,"Salad, Restaurants, Bars, Vegan, Nightlife, Tapas/Small Plates, Pizza, Vegetarian, Cocktail Bars"
XYIPXJ9parr9FtvvcGI1SA,0.018955,GB Hand-pulled Noodles,"Chinese, Restaurants, Noodles"
B70iTJjcPkuYn8ouUewWgw,0.018594,Gusto 101,"Italian, Restaurants"
U4iqELk1IiqARpk5uJJOZg,0.017872,Eva's Original Chimneys,"Desserts, Food Stands, Ice Cream & Frozen Yogurt, Cafes, Food, Street Vendors, Bakeries, Restaurants, Food Trucks, Specialty Food"
xL9EhlYVMSe2mdkisYjXog,0.017781,The Halal Guys,"Desserts, Restaurants, Food, Food Stands, Halal, Middle Eastern"
uAAWlLdsoUf872F1FKiX1A,0.017601,Bang Bang Ice Cream and Bakery,"Ice Cream & Frozen Yogurt, Desserts, Food"
