linkID,link
0,0
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,1
14,1
15,0
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,0
27,0
28,1
29,1
30,1
31,1
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,1
47,0
48,1
49,1
50,1
51,0
52,0
53,1
54,1
55,0
56,0
57,1
58,1
59,1
60,1
61,0
62,0
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,0
71,1
72,1
73,0
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,0
82,0
83,0
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,1
92,0
93,1
94,1
95,1
96,0
97,1
98,0
99,0
100,1
101,0
102,1
103,0
104,0
105,1
106,0
107,1
108,0
109,0
110,0
111,1
112,1
113,1
114,0
115,0
116,0
117,1
118,0
119,1
120,1
121,0
122,0
123,0
124,1
125,1
126,0
127,1
128,1
129,1
130,0
131,1
132,1
133,0
134,0
135,0
136,1
137,0
138,1
139,1
140,1
141,1
142,1
143,1
144,0
145,0
146,0
147,0
148,0
149,1
150,1
151,0
152,1
153,1
154,1
155,1
156,0
157,0
158,0
159,1
160,1
161,0
162,1
163,1
164,0
165,1
166,0
167,1
168,0
169,1
170,0
171,1
172,1
173,0
174,1
175,0
176,0
177,1
178,1
179,0
180,0
181,1
182,1
183,0
184,0
185,1
186,1
187,0
188,0
189,1
190,1
191,0
192,1
193,0
194,0
195,1
196,1
197,1
198,1
199,0
200,1
201,1
202,0
203,0
204,0
205,0
206,0
207,1
208,1
209,0
210,1
211,1
212,0
213,0
214,0
215,1
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,1
226,1
227,0
228,1
229,0
230,1
231,0
232,0
233,1
234,0
235,1
236,1
237,1
238,1
239,0
240,1
241,1
242,1
243,1
244,0
245,1
246,1
247,1
248,1
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,1
257,1
258,0
259,0
260,1
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,0
271,0
272,1
273,1
274,1
275,1
276,0
277,1
278,0
279,0
280,0
281,0
282,0
283,0
284,1
285,1
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,1
294,1
295,1
296,0
297,1
298,1
299,1
300,1
301,0
302,1
303,1
304,0
305,1
306,1
307,0
308,0
309,0
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,1
322,0
323,1
324,1
325,1
326,1
327,1
328,0
329,1
330,1
331,0
332,0
333,1
334,0
335,0
336,0
337,0
338,1
339,0
340,0
341,1
342,1
343,1
344,0
345,1
346,1
347,0
348,1
349,0
350,0
351,1
352,0
353,0
354,0
355,1
356,0
357,1
358,1
359,0
360,0
361,1
362,1
363,0
364,0
365,1
366,0
367,1
368,0
369,1
370,1
371,1
372,1
373,1
374,0
375,1
376,1
377,1
378,0
379,0
380,1
381,0
382,1
383,0
384,0
385,0
386,0
387,0
388,0
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,0
398,0
399,1
400,0
401,0
402,1
403,0
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,0
412,0
413,1
414,1
415,1
416,0
417,0
418,0
419,1
420,0
421,1
422,0
423,0
424,0
425,1
426,1
427,0
428,0
429,1
430,1
431,0
432,1
433,0
434,0
435,0
436,1
437,0
438,1
439,0
440,0
441,1
442,0
443,1
444,0
445,1
446,0
447,0
448,0
449,0
450,1
451,0
452,0
453,1
454,1
455,0
456,1
457,0
458,1
459,0
460,1
461,0
462,0
463,0
464,1
465,1
466,0
467,0
468,0
469,0
470,1
471,1
472,0
473,0
474,1
475,1
476,0
477,1
478,0
479,1
480,0
481,1
482,1
483,0
484,0
485,0
486,1
487,0
488,0
489,0
490,1
491,0
492,1
493,0
494,0
495,0
496,1
497,1
498,1
499,0
